,access,bicycle,bridge,bridge:movable,bridge:name,bridge:wikidata,bridge:wikipedia,button_operated,check_date:surface,condition,construction,covered,crossing,crossing:island,crossing:markings,cutting,cycleway,description,foot,foot:conditional,footway,handrail,handrail:left,handrail:right,highway,horse,incline,inline_skates,kerb,lanes,layer,lcn,level,lit,motor_vehicle,name,name:pronunciation,name:ru,note,oneway,oneway:bicycle,oneway:foot,operator,ramp,ramp:bicycle,ramp:stroller,segregated,sidewalk,ski,smoothness,snowmobile,source,step_count,stroller,surface,tactile_paving,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,tunnel,wheelchair,width,wikidata,wikipedia,geometry
20993,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0035888 40.7080581, -74.0036056 40.7080673)"
21053,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,"LINESTRING (-74.0034806 40.7081321, -74.0035035 40.7081418)"
20974,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0020565 40.7081459, -74.0020783 40.7081353, -74.0020923 40.7081516)"
21054,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Beekman Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0035035 40.7081418, -74.0035195 40.7081519)"
20980,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sett,,,,,,,,,,,,"LINESTRING (-74.0018925 40.7082273, -74.0019314 40.7082079, -74.0019708 40.7081882)"
20975,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.002128 40.7082092, -74.0021391 40.7082271)"
6805,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0030727 40.7077622, -74.0021391 40.7082271, -74.0020452 40.7082744, -74.0020501 40.708283, -74.0020566 40.7082949, -74.002483 40.7087213)"
20977,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0020352 40.70826, -74.0020405 40.708266, -74.0020452 40.7082744)"
20976,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0020452 40.7082744, -74.002026 40.7082842)"
20978,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0018023 40.7082949, -74.0017867 40.7082807, -74.0018093 40.7082683)"
20979,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0018926 40.708351, -74.0018698 40.7083624, -74.0018556 40.7083483)"
1018,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.002483 40.7087213, -74.0031298 40.7081762, -74.0032876 40.7080602, -74.003313 40.7080432)"
654,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0018322 40.7095114, -74.0025613 40.7089548, -74.0026866 40.7088598, -74.0030379 40.7085619, -74.0032314 40.7083977, -74.0034134 40.7082432, -74.0034913 40.7081771, -74.0035195 40.7081519, -74.0035769 40.7080953, -74.0036056 40.7080673, -74.0039409 40.7077198, -74.0039848 40.7076761, -74.0040106 40.707657, -74.0040466 40.7076368)"
6811,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0016567 40.7093585, -74.001596 40.7093334, -74.0013004 40.7090917, -74.0009772 40.7088284, -74.0009708 40.7088133, -74.0009716 40.7088003, -74.0009867 40.7087898, -74.0010862 40.7087374, -74.0018698 40.7083624, -74.002345 40.7088179)"
650,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,Pearl Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.002345 40.7088179, -74.0016567 40.7093585)"
23120,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0148523 40.7012978, -74.014821 40.7012856, -74.0147428 40.7012552, -74.0146407 40.7012185, -74.0144842 40.7011769, -74.0143622 40.7011495, -74.0143367 40.7011442, -74.0142303 40.7011225, -74.0141264 40.7011033, -74.0140394 40.7010928, -74.013981 40.7010871, -74.013964 40.7010851, -74.0139145 40.7010795, -74.0138421 40.7010764, -74.0137265 40.7010738, -74.013622 40.7010742, -74.0135666 40.7010747)"
23106,,dismount,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0140403 40.7013034, -74.0140156 40.7012904, -74.0139901 40.7012808, -74.0139526 40.7012749, -74.0139162 40.7012744, -74.0138867 40.7012791, -74.0138606 40.7012863)"
23115,,yes,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0124579 40.7014754, -74.0124477 40.7014537, -74.0124218 40.7014514, -74.0123938 40.7014423, -74.0123753 40.7014281, -74.0123645 40.701409, -74.0123534 40.7013849)"
23117,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0126378 40.701551, -74.0126234 40.701519, -74.012606 40.7014997, -74.0125745 40.7014768, -74.0125503 40.7014667, -74.0125061 40.701458, -74.0124477 40.7014537)"
23118,,yes,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0126378 40.701551, -74.0126227 40.7015549)"
23116,,yes,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0124926 40.7015889, -74.0124823 40.7015546)"
23107,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0139199 40.702003, -74.0138865 40.7015472, -74.0138839 40.701523, -74.0138728 40.7014991, -74.0138501 40.7014712, -74.0138201 40.7014436, -74.0137974 40.7014167, -74.0137751 40.7013828, -74.013745 40.7013354)"
5093,,yes,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.0125231 40.701584, -74.0124926 40.7015889, -74.0124657 40.7015889, -74.0124193 40.7015879, -74.012379 40.7015913, -74.0120035 40.7016742, -74.0119019 40.7016969, -74.0113305 40.7018291, -74.0113065 40.7018347, -74.0112796 40.7018409)"
23105,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0141091 40.7013439, -74.0140969 40.7013512, -74.0140816 40.7013648, -74.0140591 40.7013927, -74.0140432 40.7014202, -74.0140382 40.7014431, -74.0140366 40.7014685, -74.0140531 40.701692, -74.0140585 40.7017186, -74.0140695 40.701739, -74.0140778 40.7017623, -74.0140789 40.701791, -74.0140789 40.7018276, -74.0140833 40.7018572, -74.0140849 40.7018859, -74.0140833 40.7019209, -74.0140789 40.7019525, -74.0140701 40.7019875, -74.0140536 40.7020407, -74.0140366 40.7020744, -74.0140124 40.7021011, -74.0139888 40.702119, -74.0139549 40.7021359, -74.0139433 40.7021431, -74.0139323 40.7021568, -74.0139251 40.7021714, -74.0139224 40.7021885, -74.0139223 40.7022384, -74.0139221 40.70229)"
5108,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0125745 40.7018558, -74.012576 40.7018799, -74.0125813 40.7019112, -74.0125843 40.7019265)"
5092,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0136819 40.7022864, -74.013582 40.7022938, -74.0130443 40.7023189, -74.0130089 40.702316, -74.0129727 40.7023049, -74.0129377 40.7022865, -74.0129149 40.7022693, -74.0128787 40.7022337, -74.0128626 40.7022027, -74.0127655 40.7017946, -74.0127578 40.7017718, -74.0127439 40.7017513, -74.0127224 40.7017315, -74.0127031 40.7017146, -74.0126893 40.701697, -74.0126785 40.7016766, -74.0126378 40.701551)"
23104,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0139478 40.7021199, -74.0139549 40.7021359)"
5107,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-74.012656 40.7021529, -74.0126517 40.7021459, -74.0126402 40.7021338, -74.0126367 40.7021258)"
